begin,close
2021-12-17 11:00:00,924.4
2021-12-17 11:30:00,947.0
2021-12-17 12:00:00,924.6
2021-12-17 12:30:00,894.0
2021-12-17 13:00:00,921.4
2021-12-17 13:30:00,920.0
2021-12-17 14:00:00,935.0
2021-12-17 14:30:00,939.6
2021-12-17 15:00:00,944.0
2021-12-17 15:30:00,950.0
2021-12-17 16:00:00,965.0
2021-12-17 16:30:00,971.8
2021-12-17 17:00:00,976.2
2021-12-17 17:30:00,981.2
2021-12-17 18:00:00,995.0
2021-12-17 18:30:00,995.8
2021-12-20 10:00:00,969.8
2021-12-20 10:30:00,1005.0
2021-12-20 11:00:00,1019.8
2021-12-20 11:30:00,999.6
2021-12-20 12:00:00,1003.0
2021-12-20 12:30:00,1000.0
2021-12-20 13:00:00,1003.6
2021-12-20 13:30:00,1001.8
2021-12-20 14:00:00,1001.4
2021-12-20 14:30:00,1003.4
2021-12-20 15:00:00,1002.6
2021-12-20 15:30:00,998.0
2021-12-20 16:00:00,969.0
2021-12-20 16:30:00,983.0
2021-12-20 17:00:00,973.8
2021-12-20 17:30:00,983.0
2021-12-20 18:00:00,984.6
2021-12-20 18:30:00,983.8
2021-12-21 10:00:00,997.6
2021-12-21 10:30:00,991.8
2021-12-21 11:00:00,985.8
2021-12-21 11:30:00,987.8
2021-12-21 12:00:00,974.8
2021-12-21 12:30:00,958.0
2021-12-21 13:00:00,932.0
2021-12-21 13:30:00,938.0
2021-12-21 14:00:00,934.8
2021-12-21 14:30:00,938.8
2021-12-21 15:00:00,938.6
2021-12-21 15:30:00,929.8
2021-12-21 16:00:00,922.2
2021-12-21 16:30:00,927.0
2021-12-21 17:00:00,926.8
2021-12-21 17:30:00,931.6
2021-12-21 18:00:00,929.8
2021-12-21 18:30:00,924.0
2021-12-22 10:00:00,900.2
2021-12-22 10:30:00,871.4
2021-12-22 11:00:00,857.2
2021-12-22 11:30:00,840.0
2021-12-22 12:00:00,847.0
2021-12-22 12:30:00,853.0
2021-12-22 13:00:00,853.0
2021-12-22 13:30:00,848.8
2021-12-22 14:00:00,847.0
2021-12-22 14:30:00,859.4
2021-12-22 15:00:00,865.0
2021-12-22 15:30:00,882.0
2021-12-22 16:00:00,926.0
2021-12-22 16:30:00,914.6
2021-12-22 17:00:00,908.4
2021-12-22 17:30:00,914.6
2021-12-22 18:00:00,904.4
2021-12-22 18:30:00,915.0
2021-12-23 10:00:00,936.2
2021-12-23 10:30:00,922.0
2021-12-23 11:00:00,920.2
